order_id,item_id,date,price,quantity
1,1,2/3/21,10,5
2,2,2/3/21,20,10
3,3,2/3/21,30,15
4,4,2/3/21,40,20
5,5,2/3/21,50,25
6,1,2/4/21,60,30
7,2,2/4/21,70,35
8,3,2/4/21,10,5
9,4,2/4/21,20,10
10,5,2/4/21,30,15
11,1,2/5/21,40,20
12,2,2/5/21,30,15
13,3,2/5/21,40,20
14,4,2/5/21,50,25
15,5,2/5/21,60,30
16,1,2/6/21,70,35
17,2,2/6/21,10,5
18,3,2/6/21,20,10
19,4,2/6/21,30,15
20,5,2/6/21,40,20
21,1,2/7/21,50,25
22,2,2/7/21,60,30
23,3,2/7/21,10,5
24,4,2/7/21,20,10
25,5,2/7/21,30,15
26,1,2/8/21,40,20
27,2,2/8/21,50,25
28,3,2/8/21,60,30
29,4,2/8/21,70,35
30,5,2/8/21,10,5
31,1,2/9/21,20,10
32,2,2/9/21,30,15
33,3,2/9/21,40,20
34,4,2/9/21,30,15
35,5,2/9/21,40,20
36,1,2/10/21,50,25
37,2,2/10/21,60,30
38,3,2/10/21,70,35
39,4,2/10/21,10,5
40,5,2/10/21,20,10
41,1,2/11/21,30,15
42,2,2/11/21,40,20
43,3,2/11/21,50,25
44,4,2/11/21,60,30
45,5,2/11/21,70,35
46,1,2/12/21,30,15
47,2,2/12/21,40,20
48,3,2/12/21,30,15
49,4,2/12/21,40,20
50,5,2/12/21,50,25
51,1,2/13/21,60,30
52,2,2/13/21,70,35
53,3,2/13/21,10,5
54,4,2/13/21,20,10
55,5,2/13/21,30,15
56,1,2/14/21,40,20
57,2,2/14/21,50,25
58,3,2/14/21,30,15
59,4,2/14/21,40,20
60,5,2/14/21,50,25
61,1,2/15/21,60,30
62,2,2/15/21,70,35
63,3,2/15/21,10,5
64,4,2/15/21,20,10
65,5,2/15/21,30,15
66,1,2/16/21,40,20
67,2,2/16/21,30,15
68,3,2/16/21,40,20
69,4,2/16/21,50,25
70,5,2/16/21,60,30
71,1,2/17/21,70,35
72,2,2/17/21,40,20
73,3,2/17/21,50,25
74,4,2/17/21,10,5
75,5,2/17/21,20,10
76,1,2/18/21,30,15
77,2,2/18/21,40,20
78,3,2/18/21,50,25
79,4,2/18/21,60,30
80,5,2/18/21,70,35
81,1,2/19/21,10,5
82,2,2/19/21,20,10
83,3,2/19/21,30,15
84,4,2/19/21,40,20
85,5,2/19/21,30,15
86,1,2/20/21,40,20
87,2,2/20/21,50,25
88,3,2/20/21,60,30
89,4,2/20/21,70,35
90,5,2/20/21,10,5
91,1,2/21/21,20,10
92,2,2/21/21,30,15
93,3,2/21/21,40,20
94,4,2/21/21,50,25
95,5,2/21/21,60,30
96,1,2/22/21,10,5
97,2,2/22/21,20,10
98,3,2/22/21,30,15
99,4,2/22/21,40,20
100,5,2/22/21,50,25
101,1,2/23/21,60,30
102,2,2/23/21,70,35
103,3,2/23/21,10,5
104,4,2/23/21,20,10
105,5,2/23/21,30,15
106,1,2/24/21,40,20
107,2,2/24/21,30,15
108,3,2/24/21,40,20
109,4,2/24/21,50,25
110,5,2/24/21,60,30
111,1,2/25/21,70,35
112,2,2/25/21,10,5
113,3,2/25/21,20,10
114,4,2/25/21,30,15
115,5,2/25/21,10,5
116,1,2/26/21,20,10
117,2,2/26/21,30,15
118,3,2/26/21,40,20
119,4,2/26/21,50,25
120,5,2/26/21,60,30
121,1,2/27/21,70,35
122,2,2/27/21,10,5
123,3,2/27/21,20,10
124,4,2/27/21,30,15
125,5,2/27/21,40,20
126,1,2/28/21,30,15
127,2,2/28/21,40,20
128,3,2/28/21,50,25
129,4,2/28/21,60,30
130,5,2/28/21,70,35
131,1,3/1/21,10,5
132,2,3/1/21,20,10
133,3,3/1/21,30,15
134,4,3/1/21,40,20
135,5,3/1/21,50,25
136,1,3/2/21,60,30
137,2,3/2/21,10,5
138,3,3/2/21,20,10
139,4,3/2/21,30,15
140,5,3/2/21,40,20
141,1,3/3/21,50,25
142,2,3/3/21,60,30
143,3,3/3/21,70,35
144,4,3/3/21,10,5
145,5,3/3/21,20,10
146,1,3/4/21,30,15
147,2,3/4/21,40,20
148,3,3/4/21,30,15
149,4,3/4/21,40,20
150,5,3/4/21,50,25
151,1,3/5/21,60,30
152,2,3/5/21,70,35
153,3,3/5/21,10,5
154,4,3/5/21,20,10
155,5,3/5/21,30,15
156,1,3/6/21,40,20
157,2,3/6/21,50,25
158,3,3/6/21,60,30
159,4,3/6/21,70,35
160,5,3/6/21,30,15
161,1,3/7/21,40,20
162,2,3/7/21,30,15
163,3,3/7/21,40,20
164,4,3/7/21,50,25
165,5,3/7/21,60,30
166,1,3/8/21,70,35
167,2,3/8/21,10,5
168,3,3/8/21,20,10
169,4,3/8/21,30,15
170,5,3/8/21,40,20
171,1,3/9/21,50,25
172,2,3/9/21,30,15
173,3,3/9/21,40,20
174,4,3/9/21,50,25
175,5,3/9/21,60,30
176,1,3/10/21,70,35
177,2,3/10/21,10,5
178,3,3/10/21,20,10
